HID,M1,M2,HHID,PID,N1,HPID,PIDWON,CH1,CH2_Y,CH2_M,CH2_1,CH3_Y,CH3_M,CH3_1,CH4_Y,CH4_M,CH4_1,CH5_Y,CH5_M,CH6_Y,CH6_M
112062.0,1.0,1.0,112062011.0,3.0,1.0,11206201103.0,11206203.0,0.0,,,,,,,,,,,,,
112062.0,1.0,1.0,112062011.0,4.0,1.0,11206201104.0,11206204.0,0.0,,,,,,,,,,,,,
112064.0,1.0,1.0,112064011.0,1.0,1.0,11206401101.0,11206401.0,0.0,,,,,,,,,,,,,
112064.0,1.0,1.0,112064011.0,2.0,1.0,11206401102.0,11206402.0,0.0,,,,,,,,,,,,,
112065.0,1.0,1.0,112065011.0,1.0,1.0,11206501101.0,11206501.0,0.0,,,,,,,,,,,,,
112065.0,1.0,1.0,112065011.0,2.0,1.0,11206501102.0,11206502.0,0.0,,,,,,,,,,,,,
112066.0,1.0,1.0,112066011.0,1.0,1.0,11206601101.0,11206601.0,0.0,,,,,,,,,,,,,
112066.0,1.0,1.0,112066011.0,2.0,1.0,11206601102.0,11206602.0,0.0,,,,,,,,,,,,,
112067.0,1.0,1.0,112067011.0,1.0,1.0,11206701101.0,11206701.0,0.0,,,,,,,,,,,,,
112067.0,1.0,1.0,112067011.0,2.0,1.0,11206701102.0,11206702.0,0.0,,,,,,,,,,,,,
112072.0,1.0,1.0,112072011.0,1.0,1.0,11207201101.0,11207201.0,0.0,,,,,,,,,,,,,
112072.0,1.0,1.0,112072011.0,2.0,1.0,11207201102.0,11207202.0,0.0,,,,,,,,,,,,,
112072.0,1.0,1.0,112072011.0,3.0,1.0,11207201103.0,11207203.0,0.0,,,,,,,,,,,,,
112073.0,1.0,1.0,112073011.0,1.0,1.0,11207301101.0,11207301.0,0.0,,,,,,,,,,,,,
112073.0,1.0,1.0,112073011.0,2.0,1.0,11207301102.0,11207302.0,0.0,,,,,,,,,,,,,
112073.0,1.0,1.0,112073011.0,3.0,1.0,11207301103.0,11207303.0,0.0,,,,,,,,,,,,,
112074.0,1.0,1.0,112074011.0,1.0,1.0,11207401101.0,11207401.0,0.0,,,,,,,,,,,,,
112074.0,1.0,1.0,112074011.0,2.0,1.0,11207401102.0,11207402.0,0.0,,,,,,,,,,,,,
112074.0,1.0,1.0,112074011.0,3.0,1.0,11207401103.0,11207403.0,0.0,,,,,,,,,,,,,
112074.0,1.0,1.0,112074011.0,6.0,1.0,11207401106.0,11207406.0,0.0,,,,,,,,,,,,,
112075.0,1.0,1.0,112075011.0,1.0,1.0,11207501101.0,11207501.0,0.0,,,,,,,,,,,,,
112075.0,1.0,1.0,112075011.0,2.0,1.0,11207501102.0,11207502.0,0.0,,,,,,,,,,,,,
112075.0,1.0,1.0,112075011.0,3.0,1.0,11207501103.0,11207503.0,0.0,,,,,,,,,,,,,
